[2026-03-23 17:14:00.056564][UC][I] Logger initialized successfully [2741428,2741428][__init__.py:48,<module>]
[2026-03-23 17:14:00.088163][UC][I] Creating connector with name: UcmLustreStore [2741428,2741428][factory_v1.py:56,create_connector]
[2026-03-23 17:14:00.089174][UC][I] LustreStore-(Release). [2741428,2741428][lustre_store.cc:115,ShowConfig]
[2026-03-23 17:14:00.089197][UC][I] Set LustreStore::StorageBackends to ["/home/w2938/test/lustre_store"]. [2741428,2741428][lustre_store.cc:116,ShowConfig]
[2026-03-23 17:14:00.089207][UC][I] Set LustreStore::DeviceId to -1. [2741428,2741428][lustre_store.cc:117,ShowConfig]
[2026-03-23 17:14:00.089214][UC][I] Set LustreStore::TensorSize to 512. [2741428,2741428][lustre_store.cc:118,ShowConfig]
[2026-03-23 17:14:00.089222][UC][I] Set LustreStore::ShardSize to 512. [2741428,2741428][lustre_store.cc:119,ShowConfig]
[2026-03-23 17:14:00.089228][UC][I] Set LustreStore::BlockSize to 512. [2741428,2741428][lustre_store.cc:120,ShowConfig]
[2026-03-23 17:14:00.089235][UC][I] Set LustreStore::IoDirect to false. [2741428,2741428][lustre_store.cc:121,ShowConfig]
[2026-03-23 17:14:00.089241][UC][I] Set LustreStore::DataTransConcurrency to 16. [2741428,2741428][lustre_store.cc:122,ShowConfig]
[2026-03-23 17:14:00.089247][UC][I] Set LustreStore::LookupConcurrency to 8. [2741428,2741428][lustre_store.cc:123,ShowConfig]
[2026-03-23 17:14:00.089253][UC][I] Set LustreStore::TimeoutMs to 30000. [2741428,2741428][lustre_store.cc:124,ShowConfig]
[2026-03-23 17:14:00.089259][UC][I] Set LustreStore::DataDirShardBytes to 3. [2741428,2741428][lustre_store.cc:125,ShowConfig]
[2026-03-23 17:14:00.089265][UC][I] Set LustreStore::StripeCount to 0. [2741428,2741428][lustre_store.cc:126,ShowConfig]
[2026-03-23 17:14:00.089271][UC][I] Set LustreStore::StripeSize to 0. [2741428,2741428][lustre_store.cc:127,ShowConfig]
[2026-03-23 17:14:00.089322][UC][I] UcmLustreStore initialized with backends: ['/home/w2938/test/lustre_store'] [2741428,2741428][lustre_connector.py:109,__init__]
[2026-03-23 17:14:00.089435][UC][W] LustreStore::Lookup not implemented yet, returning empty result for 2 blocks. [2741428,2741428][lustre_store.cc:173,Lookup]
[2026-03-23 17:14:00.089623][UC][W] LustreStore::LookupOnPrefix not implemented yet. [2741428,2741428][lustre_store.cc:185,LookupOnPrefix]
[2026-03-23 17:14:00.089665][UC][W] LustreStore::Prefetch not implemented yet. [2741428,2741428][lustre_store.cc:193,Prefetch]
